item_id;supplier;category_id;color;size;price;abcvd
283;Microsoft Windows Azure Marketplace;25859;MediumSpringGreen;7;62.71;
284;Junyo;76688;SlateBlue;5;27.50;
285;LegiStorm;11770;Beige;5;26.63;
286;OpenPlans;6928;MediumBlue;5;61.91;
287;BillGuard;44026;SkyBlue;8;56.24;
288;GetRaised;51582;MintCream;6;77.70;
289;Housefax;92382;SpringGreen;7;69.79;
290;Cerner;34095;DarkGreen;8;75.83;
291;OnStar;24125;Aqua;8;72.59;
292;OpenCounter;81983;Aqua;7;24.14;
293;Ceiba Solutions;62711;Chartreuse;4;46.99;
294;SolarList;66898;Pink;8;26.35;
295;optiGov;30926;Bisque;4;51.08;
296;Graematter, Inc.;66024;YellowGreen;8;47.04;
297;R R Donnelley;99266;FloralWhite;4;67.42;
298;Child Care Desk;68162;Maroon;5;63.43;
299;HelloWallet;49543;DarkSalmon;8;21.67;
300;Booz Allen Hamilton;60256;CornflowerBlue;5;55.57;
301;ClearStory Data;31887;Aqua;7;27.16;
302;ClearHealthCosts;13261;LightSteelBlue;6;37.09;
303;Navico;9119;MintCream;5;51.18;
304;Google Maps;11694;Aquamarine;6;22.65;
305;Azavea;14350;MediumBlue;4;60.38;
306;Energy Points, Inc.;23408;LavenderBlush;7;29.45;
307;Citigroup;36242;Olive;7;76.65;
308;GreatSchools;25803;White;7;28.27;
309;Propeller Health;62339;DarkOrchid;5;63.19;
310;LoseIt.com;82387;Navy;8;79.83;
311;Consumer Reports;52588;RoyalBlue;8;36.56;
312;Sage Bionetworks;92012;Tan;8;59.34;
313;CityScan;94545;Orchid;8;74.16;
314;Dun & Bradstreet;56108;LemonChiffon;8;79.65;
315;J.P. Morgan Chase;20158;DarkBlue;6;23.77;
316;Cappex;101;NavajoWhite;5;23.79;
317;WattzOn;9484;Turquoise;4;38.73;
318;HealthPocket, Inc.;33238;Wheat;7;41.60;
319;Knoema;41889;DarkViolet;6;55.68;
320;Lenddo;7822;PaleVioletRed;6;47.03;
321;CB Insights;31310;Beige;4;61.51;
322;Allied Van Lines;785;DarkOrchid;5;37.55;
323;Calcbench, Inc.;25546;Green;6;21.48;
324;InCadence;39132;Plum;5;61.31;
325;realtor.com;81570;MediumSpringGreen;8;48.37;
326;Kimono Labs;72596;DarkMagenta;7;58.46;
327;Quid;96621;MidnightBlue;4;67.81;
328;The Schork Report;56528;Cyan;6;56.20;
329;Amazon Web Services;60636;OldLace;7;71.75;
330;Chubb;82070;MediumSeaGreen;8;23.18;
331;karmadata;9480;MediumSlateBlue;8;23.17;
332;indoo.rs;38985;Orange;7;22.30;
333;WebMD;29784;MediumOrchid;5;32.35;
334;Civic Insight;91701;CornflowerBlue;5;35.25;
335;PatientsLikeMe;54268;LightGreen;8;72.70;
336;CrowdANALYTIX;60886;RosyBrown;7;53.31;
337;Government Transaction Services;75731;CadetBlue;5;34.84;
338;Child Care Desk;73318;CadetBlue;8;37.70;
339;New Media Parents;2065;Green;5;52.99;
340;Plus-U;42243;Cornsilk;5;21.62;
341;nGAP Incorporated;64083;LightSteelBlue;5;59.23;
342;Business and Legal Resources;93246;GoldenRod;7;55.59;
343;Chemical Abstracts Service;20980;Wheat;4;47.46;
344;AccuWeather;61833;PaleGreen;4;23.62;
345;Keychain Logistics Corp.;76284;SlateGray;7;73.88;
346;ProPublica;51915;LightSeaGreen;6;35.90;
347;Aunt Bertha, Inc.;68464;Cornsilk;8;41.70;
348;Mint;77031;LightSalmon;7;52.07;
349;Optensity;87431;ForestGreen;5;61.89;
350;Socrata;83359;OrangeRed;7;27.72;
351;CoolClimate;16118;DarkMagenta;8;66.07;
352;Socrata;89118;PaleGreen;8;72.58;
353;PEV4me.com;37058;RoyalBlue;4;67.45;
354;Splunk;65380;Cyan;6;21.02;
355;OpenPlans;57671;DarkGoldenRod;6;21.31;
356;Genability;77738;Maroon;5;35.81;
357;FlightView;65233;OldLace;7;40.08;
358;Way Better Patents;29546;Teal;6;65.11;
359;WeMakeItSafer;72704;MediumAquaMarine;8;62.36;
360;Poncho App;61839;AliceBlue;6;63.25;
361;Sterling Infosystems;87303;Teal;4;55.75;
362;Rivet Software;32874;Lime;5;49.33;
363;The Govtech Fund;30140;SeaGreen;5;31.52;
364;Bekins;87773;SpringGreen;8;70.62;
365;Rivet Software;81402;Gray;4;43.37;
366;Personalis;6570;IndianRed ;5;30.32;
367;Liquid Robotics;95279;Snow;8;27.16;
368;Outline;63398;LightGoldenRodYellow;5;23.44;
369;Cambridge Information Group;72141;LawnGreen;5;76.08;
370;SpotHero.com;37319;MediumSlateBlue;6;30.20;
371;SnapSense;45324;Tan;4;65.98;
372;CostQuest;83855;DarkGreen;6;29.59;
373;Fuzion Apps, Inc.;43365;Orchid;5;22.56;
374;Barchart;38890;MediumVioletRed;8;64.77;
375;POPVOX;37902;DarkCyan;6;73.42;
376;LegiNation, Inc.;97057;FloralWhite;8;68.69;
377;SpaceCurve;24145;Aquamarine;6;37.29;
378;Civic Impulse LLC;9438;Lavender;6;56.61;
379;PeerJ;16905;Magenta;8;75.03;
380;NuCivic;83817;Aquamarine;8;53.01;
381;Development Seed;62180;Silver;7;39.47;
382;Zonability;75311;Silver;4;54.96;
383;Revaluate;12032;DodgerBlue;5;27.85;
384;SmartProcure;21815;BurlyWood;5;64.47;
385;Russell Investments;27642;SandyBrown;6;68.76;
386;USSearch;42562;LightSalmon;7;62.64;
387;Connotate;18223;Cornsilk;4;66.27;
388;Poncho App;44312;DarkGray;8;45.30;
389;Marlin Alter and Associates;83971;LemonChiffon;4;22.81;
390;RedLaser;31570;Darkorange;8;60.28;
391;Marlin Alter and Associates;6467;RoyalBlue;8;35.18;
392;Evidera;82963;Orange;6;56.78;
393;Sterling Infosystems;32498;LightSteelBlue;8;48.83;
394;Peterson's;24230;MediumSeaGreen;8;43.09;
395;PowerAdvocate;90755;Gold;6;40.50;
396;Galorath Incorporated;44728;MediumOrchid;4;24.58;
397;Municode;42719;MistyRose;6;60.01;
398;Patently-O;9370;Darkorange;7;44.81;
399;Suddath;77968;SkyBlue;8;76.68;
400;Revaluate;4830;BlueViolet;7;26.63;
401;United Mayflower;27337;LightCyan;5;68.91;
402;Investormill;16369;Aqua;7;42.50;
403;PublicEngines;42869;AntiqueWhite;5;27.20;
404;FarmLogs;97573;LightSlateGray;8;25.21;
405;3 Round Stones, Inc.;43908;PaleVioletRed;4;79.50;
406;Loqate, Inc.;85159;Plum;7;46.08;
407;Vital Axiom | Niinja;29504;DarkMagenta;7;22.86;
408;Knoema;4062;MintCream;4;47.89;
409;Civinomics;54541;DimGrey;8;63.18;
410;Equal Pay for Women;84468;IndianRed ;7;44.01;
411;Apextech LLC;32773;SlateBlue;6;24.46;
412;PricewaterhouseCoopers (PWC);42625;SpringGreen;5;37.68;
413;DataWeave;34522;DarkSeaGreen;4;66.45;
414;Code-N;76189;Linen;6;28.39;
415;Compendia Bioscience Life Technologies;54558;LightGray;4;78.24;
416;Apextech LLC;31346;Olive;6;20.83;
417;KidAdmit, Inc.;84996;Thistle;8;52.39;
418;Housefax;88594;PeachPuff;5;47.29;
419;Kaiser Permanante;55963;Gainsboro;7;63.95;
420;Lumesis, Inc.;73840;Orchid;7;23.19;
421;Spikes Cavell Analytic Inc;49935;DarkSalmon;8;21.18;
422;CitySourced;84316;BlueViolet;8;70.27;
423;Zebu Compliance Solutions;58802;MediumSeaGreen;8;46.86;
424;College Board;39797;PaleVioletRed;5;22.88;
425;Tableau Software;69194;Cornsilk;8;26.05;
426;Oliver Wyman;10254;DarkOliveGreen;8;58.68;
427;Stormpulse;75106;OldLace;8;55.27;
428;Mercaris;90207;GreenYellow;4;60.07;
429;Persint;37289;Maroon;6;26.12;
430;FirstPoint, Inc.;33414;PeachPuff;6;79.15;
431;Informatica;68594;Coral;8;35.85;
432;Code-N;96724;DeepSkyBlue;5;33.86;
433;The Vanguard Group;99256;Chocolate;7;45.70;
434;Rivet Software;79734;DarkCyan;7;40.27;
435;Mango Transit;60494;Ivory;4;30.03;
436;BizVizz;35167;LavenderBlush;6;30.75;
437;Bridgewater;26729;MistyRose;8;73.89;
438;LegiNation, Inc.;33567;LavenderBlush;8;47.86;
439;Liquid Robotics;56893;DarkKhaki;7;58.11;
440;Cappex;15983;NavajoWhite;8;32.58;
441;StreamLink Software;44726;AntiqueWhite;5;54.03;
442;Equal Pay for Women;78739;Green;6;51.56;
443;Junyo;70764;PapayaWhip;7;48.51;
444;Panjiva;32323;Orchid;7;76.29;
445;Retroficiency;66488;Cyan;5;65.91;
446;MicroBilt Corporation;47118;BlueViolet;4;45.70;
447;Asset4;55825;MediumBlue;5;30.91;
448;CB Insights;53968;DarkTurquoise;6;59.44;
449;Altova;28165;Violet;6;45.25;
450;Cloudspyre;97899;DarkMagenta;8;70.25;
451;Vitals;15127;MistyRose;4;20.53;
452;Code for America;46744;LightGreen;7;28.12;
453;Iodine;57240;PapayaWhip;7;71.45;
454;Tendril;97655;PaleTurquoise;5;66.07;
455;Eat Shop Sleep;82375;OldLace;8;27.58;
456;Webitects;9;GreenYellow;7;25.59;
457;Redfin;12106;Fuchsia;7;28.74;
458;Google Public Data Explorer;32861;Gainsboro;8;56.59;
459;The Govtech Fund;83102;Maroon;4;34.42;
460;InCadence;1581;Fuchsia;6;65.96;
461;Accenture;90596;MediumSeaGreen;4;61.04;
462;Outline;12489;Wheat;8;52.08;
463;Earth Networks;33444;RosyBrown;7;26.44;
464;ZocDoc;23108;MintCream;7;76.04;
465;Caspio;82478;PowderBlue;6;59.55;
466;Oversight Systems;15120;Salmon;5;68.42;
467;BlackRock;19347;SlateGray;7;48.76;
468;PlanetEcosystems;32989;LightBlue;4;41.56;
469;Glassy Media;9181;Silver;6;42.28;
470;Department of Better Technology;68358;DimGrey;8;27.70;
471;PYA Analytics;61479;Lime;8;28.45;
472;Healthgrades;77640;Coral;6;75.09;
473;InnoCentive;63428;Pink;7;31.24;
474;TagniFi;53010;MediumBlue;5;30.75;
475;Compliance and Risks;48454;White;5;40.51;
476;Abt Associates;9151;Tomato;5;48.53;
477;Merrill Corp.;92350;SpringGreen;7;62.09;
478;CGI;9714;LightBlue;4;63.76;
479;PIXIA Corp;14809;Lavender;6;36.84;
480;HDScores, Inc;1213;IndianRed ;4;53.53;
481;SigFig;32849;DarkSlateGray;8;67.61;
482;CitySourced;91934;Chartreuse;4;74.71;
483;Quandl;43030;DarkRed;4;28.43;
484;Wolters Kluwer;53338;MediumBlue;4;62.40;
485;Alltuition;41947;AliceBlue;5;24.25;
486;PlanetEcosystems;14264;DeepPink;6;29.43;
487;SpaceCurve;67417;DarkSalmon;5;32.94;
488;KLD Research;51816;Orange;6;44.18;
489;Factset;91275;Blue;6;71.09;
490;Junyo;71278;SandyBrown;7;35.70;
491;KPMG;98295;PaleVioletRed;7;41.09;
492;Level One Technologies;59192;LemonChiffon;8;69.71;
493;Environmental Data Resources;85757;MediumPurple;6;61.76;
494;iRecycle;91449;Linen;8;20.72;
495;Poncho App;74792;CornflowerBlue;7;42.03;
496;Chubb;76180;PeachPuff;4;60.41;
497;Govini;29053;Yellow;5;26.01;
498;Cloudspyre;15493;DarkViolet;6;32.89;
499;USAA Group;55637;SlateBlue;6;40.84;
500;Legal Science Partners;95314;DarkGray;8;73.41;
501;Marinexplore, Inc.;20229;BlanchedAlmond;6;38.39;
502;Environmental Data Resources;51282;DarkOrchid;6;38.90;
503;Tableau Software;23106;DarkSlateBlue;6;46.32;
504;LegiStorm;8537;Ivory;5;46.04;
505;Investormill;37754;RoyalBlue;6;74.63;
506;SnapSense;4645;Red;5;71.56;
507;PublicEngines;35835;DarkGray;5;74.39;
508;Junyo;97367;BlueViolet;8;45.83;
509;JJ Keller;31338;Red;8;47.31;
510;Compliance and Risks;3920;DarkSalmon;5;23.62;
511;Microsoft Windows Azure Marketplace;10750;MediumSlateBlue;5;67.72;
512;Personal, Inc.;83069;Chartreuse;8;75.94;
513;Investormill;55992;MediumBlue;6;59.08;
514;H3 Biomedicine;37751;LightGreen;6;71.91;
515;StreetCred Software, Inc;40581;Plum;4;61.00;
516;Honest Buildings;25384;BlueViolet;4;31.67;
517;FlightStats;19645;MediumSpringGreen;6;27.99;
518;ClearHealthCosts;60359;LemonChiffon;4;69.56;
519;ideas42;65505;Plum;8;60.79;
520;Fidelity Investments;35238;DarkOrchid;8;65.19;
521;Computer Packages Inc;66779;Fuchsia;8;39.45;
522;USSearch;47679;DarkCyan;8;57.65;
523;Personal, Inc.;11905;LightBlue;8;76.15;
524;Climate Corporation;96201;DeepPink;7;55.66;
525;TransparaGov;84636;GoldenRod;8;20.81;
526;The DocGraph Journal;17981;DarkSlateGray;4;71.43;
527;Russell Investments;86526;Lavender;5;23.82;
528;OSIsoft;69773;Lime;8;59.31;
529;Standard and Poor's;44202;SeaGreen;4;36.80;
530;Intermap Technologies;15179;BlanchedAlmond;4;21.68;
531;CB Insights;70521;MediumSeaGreen;4;56.87;
532;Tableau Software;76175;MediumOrchid;6;26.05;
533;Locavore;86978;GhostWhite;6;77.78;
534;Healthline;59604;DarkGreen;4;24.16;
535;Atlas Van Lines;18535;DarkViolet;7;31.18;
536;Consumer Reports;4986;DarkOrchid;7;58.72;
537;Clean Power Finance;66416;MediumOrchid;7;74.42;
